key,class,issuetype,module,effort_band,story_points,cycle_days,comments,sprints,summary
NXT-71439,migration,Task,Item Management,S,,0,0,1,Release & Migration Testing - IM - Bulk update tool
NXT-71678,migration,Bug,Item Management,S,,1,3,0,Regression: Migration-Bulk Update-Published/Unpublished Inventory status are mis
NXT-71743,migration,Feature,Platform - Data Exchange,S,,0,0,0,District Migrations 2026
NXT-71845,migration,Task,Item Management,S,,0,0,1,BO - Migration Smoke Testing(9.13)
NXT-71875,migration,Story,Platform - Data Exchange,S,,0,2,5,FamilyHub - District Migration - Washburn
NXT-71887,migration,Task,Accountability,S,,0,0,1,Dilworth District Migration Testing - FO Modules
NXT-71897,migration,Story,Platform - Data Exchange,S,,0,2,3,Dilworth - District Migration
NXT-72021,migration,Task,Item Management,S,,0,0,1,Washburn - District Migration Testing
NXT-72040,migration,Story,Platform - Data Exchange,S,,0,0,3,Dilworth - FamilyHub District Migration
NXT-72097,migration,Task,Menu Planning,S,,0,0,1,Production Planning Data Migration & Contracts Finalized for Add Menu And Menu I
NXT-72122,migration,Bug,Menu Planning,M,,19,3,1,Washburn District Migration - Multiple observations
NXT-72213,migration,Bug,Menu Planning,S,,11,4,1,Washburn District Migration - Contributions jumbled.
NXT-72214,migration,Bug,Menu Planning,S,,11,4,1,Washburn District Migration - Serving Weights issue.
NXT-72216,migration,Bug,Menu Planning,M,,20,6,2,Washburn District Migration - Sub recipe issue.
NXT-72234,migration,Bug,Menu Planning,M,,21,9,2,Washburn District Migration - Preferred Measure flag is missing.
NXT-72235,migration,Bug,Menu Planning,S,,0,2,1,District Migration(Washburn) - Not bringing Tap Water as recipe ingredient.
NXT-72236,migration,Bug,Menu Planning,M,,21,5,2,Washburn District Migration - Quantity needed changed from Ounce to Cup.
NXT-72367,migration,Task,Item Management,S,,0,1,1,Washburn - District Migration Testing
NXT-72401,migration,Task,Item Management,S,,0,0,1,"QA, UAT & Migration - Testing : PCS-4510 - Recipes ""<-- Back"" button takes to It"
NXT-72487,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.14 Release
NXT-72493,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.15 Release
NXT-72680,migration,Bug,Accountability,S,,0,0,1,Dilworth District Migration - Edit check page - issue
NXT-72681,migration,Bug,Accountability,S,,3,1,1,Dilworth District Migration - Accountability - pages are not showing
NXT-72682,migration,Bug,Account Management,M,,0,3,2,Dilworth District Migration - Acct Mgmt - Notification history and generated tim
NXT-72683,migration,Bug,Account Management,M,,0,4,2,Dilworth District Migration - Acct Mgmt - Multiple observations on Account Info
NXT-72684,migration,Bug,Eligibility,S,,0,2,2,Dilworth District Migration - Eligibility - Case type info is blank on applicati
NXT-72686,migration,Bug,Eligibility,S,,0,2,2,Dilworth District Migration - Eligibility -  SSN and signature info are not matc
